uid,pmcid,title,journal,pubdate,authors,doi
7016348,PMC7016348,Ruptured ulnar artery aneurysm in vascular Ehlers-Danlos syndrome.,J Vasc Surg Cases Innov Tech,2020 Mar,Howard R; Osborne N,10.1016/j.jvscit.2019.11.013
6955026,PMC6955026,The Current Status of Genes and Genetic Testing in Emergency Medicine: A Narrative Review.,Adv J Emerg Med,2020 Winter,Aghamir SMK; Ebrahimi M; Khatami F,10.22114/ajem.v0i0.216
6933463,PMC6933463,Vascular Ehlers-Danlos Syndrome Diagnosed in a Patient Initiating Hemodialysis.,Kidney Int Rep,2019 Nov,Ouchi H; Nishi H; Nakamura M; Hirakawa Y; Tanaka T; Takeda N; Akai T; Ohashi Y; Hoshina K; Takayama T; Nangaku M,10.1016/j.ekir.2019.07.020
6899330,PMC6899330,Spontaneous Coronary Artery Dissection in a Patient with a Family History of Fatal Ascending Aortic Dissection: Case Report and Discussion of Diseases Causing Both Presentations.,Case Rep Cardiol,2019,Joy G; Eissa H,10.1155/2019/7218480
6874507,PMC6874507,Splenic Rupture Secondary to Vascular Ehlers-Danlos Syndrome Managed by Coil Embolization of the Splenic Artery.,European J Pediatr Surg Rep,2019 Jan,Kamalanathan KC; Barnacle AM; Holbrook C; Rees C,10.1055/s-0039-3399555
6848165,PMC6848165,C1R Mutations Trigger Constitutive Complement 1 Activation in Periodontal Ehlers-Danlos Syndrome.,Front Immunol,2019,Gröbner R; Kapferer-Seebacher I; Amberger A; Redolfi R; Dalonneau F; Björck E; Milnes D; Bally I; Rossi V; Thielens N; Stoiber H; Gaboriaud C; Zschocke J,10.3389/fimmu.2019.02537
6770791,PMC6770791,Further Defining the Phenotypic Spectrum of B3GAT3 Mutations and Literature Review on Linkeropathy Syndromes.,Genes (Basel),2019 Aug 21,Ritelli M; Cinquina V; Giacopuzzi E; Venturini M; Chiarelli N; Colombi M,10.3390/genes10090631
6796720,PMC6796720,Penile fracture in a patient with Ehlers-Danlos syndrome: A case report.,Urol Case Rep,2019 Nov,Liu JL; Hawksworth DJ; Burnett AL,10.1016/j.eucr.2019.101011
6771693,PMC6771693,A homozygous ADAMTS2 nonsense mutation in a Doberman Pinscher dog with Ehlers Danlos syndrome and extreme skin fragility.,Anim Genet,2019 Oct,Jaffey JA; Bullock G; Teplin E; Guo J; Villani NA; Mhlanga-Mutangadura T; Schnabel RD; Cohn LA; Johnson GS,10.1111/age.12825
6761414,PMC6761414,42. Large vessel vasculitis with rapidly expanding aortic aneurysm.,Rheumatol Adv Pract,2019 Sep,Singh MKB; Hauser B,10.1093/rap/rkz028.011
6699327,PMC6699327,Transvestism Recognized in Ehlers-Danlos Syndrome: Report of Two Cases.,Case Rep Psychiatry,2019,Ishiguro H; Honobe N; Suzuki T; Tamai M; Nakane T,10.1155/2019/7472301
6652450,PMC6652450,13. Pain in joint hypermobility syndrome.,Rheumatol Adv Pract,2017 Oct,Shaikh M,10.1093/rap/rkx014.002
6664867,PMC6664867,Intestinal Perforation in Children as an Important Differential Diagnosis of Vascular Ehlers-Danlos Syndrome.,Am J Case Rep,2019 Jul 20,Park KY; Gill KG; Kohler JE,10.12659/AJCR.917245
6677863,PMC6677863,Leukocytoclastic vasculitis with Koebner phenomenon associated with Ehlers Danlos syndrome.,JAAD Case Rep,2019 Aug,Haddock EES; Marsch AF,10.1016/j.jdcr.2019.05.028
6601149,PMC6601149,Prolapse and regurgitation of the four heart valves in a patient with Ehlers-Danlos Syndrome: a case report.,Eur Heart J Case Rep,2019 Jun 1,Chango Azanza DX; Munín MA; Sánchez GA; Spernanzoni F,10.1093/ehjcr/ytz052
6580888,PMC6580888,A Dual Approach for the Management of Complex Craniovertebral Junction Abnormalities: Endoscopic Endonasal Odontoidectomy and Posterior Decompression with Fusion.,World Neurosurg X,2019 Apr,Alalade AF; Ogando-Rivas E; Forbes J; Ottenhausen M; Uribe-Cardenas R; Hussain I; Nair P; Lehner K; Singh H; Kacker A; Anand VK; Hartl R; Baaj A; Schwartz TH; Greenfield JP,10.1016/j.wnsx.2019.100010
6551759,PMC6551759,SAT-485 Transient Vision Loss Due to Physiologic Pituitary Enlargement during Normal Pregnancy.,J Endocr Soc,2019 Apr 15,Chang S; LE A; Messier S; Horani D; Horani M,10.1210/js.2019-SAT-485
6501436,PMC6501436,Comparable patient-reported outcomes in females with or without joint hypermobility after hip arthroscopy and capsular plication for femoroacetabular impingement syndrome.,J Hip Preserv Surg,2019 Jan,Stone AV; Mehta N; Beck EC; Waterman BR; Chahla J; Ukwuani G; Nho SJ,10.1093/jhps/hnz004
6452458,PMC6452458,"Hypermobile type Ehlers-Danlos syndrome associated with hypogammaglobulinemia and fibromyalgia: A case-based review on new classification, diagnosis, and multidisciplinary management.",Clin Case Rep,2019 Apr,Zhang W; Windsor K; Jones R; Taunton DO,10.1002/ccr3.2070
6409156,PMC6409156,Congenital absence of lingual frenum in a non-syndromic patient: a case report.,J Med Case Rep,2019 Mar 10,Felemban R; Mawardi H,10.1186/s13256-018-1966-7
6394365,PMC6394365,Spontaneous perforation of small intestine followed by rupture of the cystic artery: the natural history of Vascular Ehlers-Danlos Syndrome.,Autops Case Rep,2019 Jan-Mar,Febres-Aldana CA; Castellano-Sanchez AA; Alexis J,10.4322/acr.2018.054
6394140,PMC6394140,Vascular Type of Ehlers-Danlos Syndrome: A Case Report of an Aortic Dissection During Pregnancy.,Am J Case Rep,2019 Feb 22,Papadopoulos G; Maier O; Bönner F; Veulemans V,10.12659/AJCR.911688
6335977,PMC6335977,"Anesthetic Management for Ehlers-Danlos Syndrome, Hypermobility Type Complicated by Local Anesthetic Allergy: A Case Report.",Am J Case Rep,2019 Jan 10,Cesare AE; Rafer LC; Myler CS; Brennan KB,10.12659/AJCR.912799
